Taxon,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Cynoglossus capensis,219854,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus carpenteri,274197,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus crepida,1043615,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus cynoglossus,274198,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus dispar,274199,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus dollfusi,274200,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus dubius,274201,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus durbanensis,219848,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus feldmanni,1026886,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus gilchristi,219850,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus gracilis,274202,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus heterolepis,1017814,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus interruptus,274203,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus itinus,274204,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus joyneri,274205,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus kapuasensis,1018496,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus kopsii,219856,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus lachneri,219853,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus lida,219857,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus lighti,274206,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus lineolatus,274207,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus lingua,154722,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus maccullochi,274208,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus macrolepidotus,274209,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus macrophthalmus,274210,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus macrostomus,274211,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus maculipinnis,274212,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus marleyi,219851,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus melampetalus,274213,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus microlepis,1020152,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus monodi,274214,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus monopus,274215,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus nanhaiensis,1526484,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus nigropinnatus,274216,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus ochiaii,398702,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus ogilbyi,274217,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus oligolepis,274218,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus pottii,274219,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus puncticeps,274220,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus purpureomaculatus,274221,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus quadriocellatus,1536373,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus robustus,274222,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus roulei,274223,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus sealarki,219855,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus semifasciatus,274224,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus semilaevis,274225,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus senegalensis,274226,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus sibogae,274227,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus sinicus,274228,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus sinusarabici,127132,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus suyeni,274229,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus trigrammus,274230,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus trulla,274231,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus waandersii,1021637,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus westraliensis,1493416,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus yokomaru,1493417,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoglossus zanzibarensis,219847,Does not or is unlikely to produce sound under natural conditions,452075,
Cynolebias akroa,1493418,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias altus,1010000,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias attenuatus,1010001,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias elegans,1524404,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias gibbus,1010002,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias gilbertoi,1010497,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias gorutuba,1385359,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias griseus,1011399,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias itapicuruensis,1384204,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias leptocephalus,1384045,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias microphthalmus,1010842,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias obscurus,1007010,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias ochraceus,1007011,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias oticus,1007005,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias paraguassuensis,1008718,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias parietalis,1007009,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias parnaibensis,1008034,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias perforatus,1011252,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias porosus,1011339,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias rectiventer,1007008,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias roseus,1007007,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynolebias vazabarrisensis,1009998,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynomacrurus piriei,234823,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopoecilus feltrini,1493419,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopoecilus fulgens,1009848,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopoecilus intimus,1009849,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopoecilus melanotaenia,1017596,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopoecilus multipapillatus,1009851,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopoecilus nigrovittatus,1009850,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopoecilus notabilis,1384821,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoponticus coniceps,271797,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoponticus ferox,126295,Does not or is unlikely to produce sound under natural conditions,452075,
Cynoponticus savanna,271798,Does not or is unlikely to produce sound under natural conditions,452075,
Cynopotamus amazonum,1421162,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus argenteus,1018303,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus atratoensis,1018291,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus bipunctatus,1017887,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus essequibensis,1017534,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus gouldingi,1383844,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus juruenae,1383845,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus kincaidi,1525004,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus magdalenae,1423466,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus tocantinensis,1011645,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus venezuelae,1525142,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynopotamus xinguano,1008702,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynops pyrrhogaster,1346233,Unknown or undetermined,,
Cynoscion acoupa,276074,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion albus,276075,Likely to produce sound under natural conditions but unconfirmed,452074,
Cynoscion analis,276076,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion arenarius,276077,Produces active sound under natural conditions,451990,
Cynoscion guatucupa,276078,Produces active sound under natural conditions,451850,
Cynoscion jamaicensis,276079,Likely to produce sound under natural conditions but unconfirmed,452136,
Cynoscion leiarchus,276080,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion microlepidotus,276081,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion nannus,276082,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion nebulosus,159312,Produces active sound under natural conditions,451941,
Cynoscion nortoni,276083,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion nothus,159305,Likely to produce sound under natural conditions but unconfirmed,452020,
Cynoscion othonopterus,276084,Likely to produce sound under natural conditions but unconfirmed,452074,
Cynoscion parvipinnis,276085,Likely to produce sound under natural conditions but unconfirmed,452156,
Cynoscion phoxocephalus,276086,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion praedatorius,276087,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion regalis,159313,Produces active sound under natural conditions,451895,
Cynoscion reticulatus,276088,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion similis,276089,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion squamipinnis,276090,Likely to produce sound under natural conditions but unconfirmed,452074,
Cynoscion steindachneri,276091,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion stolzmanni,276092,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion striatus,276093,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion virescens,276094,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynoscion xanthulus,276095,Produces active sound under natural conditions,452021,
Cynotilapia afra,1019401,Likely to produce sound under natural conditions but unconfirmed,452074,
Cynotilapia aurifrons,1525033,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynotilapia axelrodi,1012789,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynotilapia chilundu,1385167,Likely to produce sound under natural conditions but unconfirmed,452075,
Cynotilapia zebroides,1524346,Likely to produce sound under natural conditions but unconfirmed,452075,
Cypho purpurascens,280467,Does not or is unlikely to produce sound under natural conditions,452075,
Cypho zaps,388751,Does not or is unlikely to produce sound under natural conditions,452075,
Cyphocharax abramoides,1419669,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax aninha,1006986,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax aspilos,1011139,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax biocellatus,1007642,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax boiadeiro,1385388,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax cramptoni,1493420,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax derhami,1384369,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax festivus,1011132,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax gangamon,1011130,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax gilbert,1026440,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax gillii,1015727,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax gouldingi,1384024,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax helleri,1526032,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax jagunco,1493421,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax laticlavius,1010720,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax leucostictus,1467688,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax lundi,1509728,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax magdalenae,1014325,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax meniscaprorus,1011131,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax mestomyllon,1011129,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax microcephalus,1467692,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax modestus,1525023,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax multilineatus,1525522,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax muyrakytan,1493422,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax naegelii,1347254,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax nigripinnis,1011133,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax notatus,1526086,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax oenas,1011127,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax pantostictos,1011393,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax pinnilepis,1007988,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax platanus,1341586,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax plumbeus,1435790,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax punctatus,1011903,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax saladensis,1015646,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax sanctigabrielis,1007076,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax santacatarinae,1026897,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax signatus,1011128,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax spilotus,1011700,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax spiluropsis,1015981,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax spilurus,1461223,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax stilbolepis,1011134,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax vanderi,1012453,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax vexillapinnus,1010020,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphocharax voga,1015538,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomycter eoume,219660,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomycter tuberosus,219661,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomyrus aelsbroecki,1525055,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomyrus cubangoensis,1525371,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomyrus discorhynchus,1026776,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomyrus lufirae,1523806,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomyrus macrops,1526041,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomyrus petherici,1605330,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomyrus psittacus,1468427,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphomyrus wilverthi,1468448,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphotilapia frontosa,1018473,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyphotilapia gibberosa,1009648,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprichromis coloratus,1009013,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprichromis leptosoma,1019204,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprichromis microlepidotus,1014019,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprichromis pavo,1010893,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprichromis zonatus,1009815,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella alvarezdelvillari,1010963,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella analostana,1021263,Produces active and passive sound under natural conditions,452147,
Cyprinella bocagrande,1012265,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella caerulea,1422443,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella callisema,1422292,Produces active sound under natural conditions,451866,
Cyprinella callistia,1422294,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella callitaenia,1014022,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella camura,1425023,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella chloristia,1020137,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella eurystoma,1422675,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella formosa,1017171,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella galactura,1421302,Produces active sound under natural conditions,451862,
Cyprinella garmani,1019844,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella gibbsi,1013171,Produces active sound under natural conditions,451866,
Cyprinella labrosa,1421417,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella leedsi,1014722,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella lepida,1383076,Produces active sound under natural conditions,451859,
Cyprinella lutrensis,1026708,Produces active sound under natural conditions,452040,
Cyprinella monacha,1421156,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella nivea,1020629,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella panarcys,1012592,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella proserpina,1419447,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella pyrrhomelas,1421419,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella rutila,1419483,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella spiloptera,1020798,Produces active sound under natural conditions,452147,
Cyprinella stigmatura,1422664,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella trichroistia,1020135,Produces active sound under natural conditions,451866,
Cyprinella venusta,1016054,Produces active sound under natural conditions,451961,
Cyprinella whipplei,1021459,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella xaenura,1422309,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella xanthicara,1013263,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinella zanema,1423120,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion acinaces,1012670,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion kais,1022122,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion macrostomus,1022142,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion mhalense,1012150,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion microphthalmum,1466500,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion milesi,1016000,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion semiplotum,1021249,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion tenuiradius,1021927,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinion watsoni,1013915,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinocirrhites polyactis,218864,Does not or is unlikely to produce sound under natural conditions,452075,
Cyprinodon albivelis,1009835,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon alvarezi,1383664,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon arcuatus,1009787,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon artifrons,276018,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon atrorus,1383621,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon beltrani,1014261,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon bifasciatus,1013298,Produces active sound under natural conditions,451888,
Cyprinodon bobmilleri,276019,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon bondi,276020,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon bovinus,1021646,Likely to produce sound under natural conditions but unconfirmed,452074,
Cyprinodon brontotheroides,1007328,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon ceciliae,1384046,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon dearborni,1015000,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon desquamator,1007327,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon diabolis,1015867,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon elegans,1021647,Likely to produce sound under natural conditions but unconfirmed,452074,
Cyprinodon eremus,1524135,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon esconditus,1009788,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon eximius,1021265,Produces active sound under natural conditions,451875,
Cyprinodon fontinalis,1012439,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon higuey,1011400,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon hubbsi,1015146,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon inmemoriam,1011033,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon julimes,1008168,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon labiosus,1012328,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon laciniatus,276021,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon latifasciatus,1019967,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon longidorsalis,1011055,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon macrolepis,1012783,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon macularius,1018286,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon maya,1012329,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon meeki,1012784,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon nazas,1012785,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon nevadensis,1019442,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon nichollsi,1011514,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon pachycephalus,1011874,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon pecosensis,1012583,Likely to produce sound under natural conditions but unconfirmed,452074,
Cyprinodon pisteri,1009834,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon radiosus,1014300,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon riverendi,1014931,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon rubrofluviatilis,1363916,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon salinus,293573,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon salvadori,1009747,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon simus,1012330,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon suavium,1009126,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon tularosa,276023,Produces active sound under natural conditions,451875,
Cyprinodon variegatus,159285,Produces active and passive sound under natural conditions,451870,"Trait score determined in conjuction with reference ""https://marinespecies.org/aphia.php?p=sourcedetails&id=451870"" target=""_blank"">Nicoletto & Linscomb, 2008."
Cyprinodon variegatus,159285,Produces active and passive sound under natural conditions,451918,"Trait score determined in conjuction with reference ""https://marinespecies.org/aphia.php?p=sourcedetails&id=451918"" target=""_blank"">Banner, 1972."
Cyprinodon verecundus,1012080,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinodon veronicae,1011056,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus acutidorsalis,275332,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus acutidorsalis,1536305,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus bajiangensis,1495337,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus barbatus,1592282,Produces active sound under natural conditions,452016,
Cyprinus carpio,154582,Produces active and passive sound under natural conditions,452049,
Cyprinus chilia,1013637,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus dai,1524492,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus daliensis,1524327,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus exophthalmus,1012532,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus fuxianensis,1424944,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus hieni,1009552,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus hyperdorsalis,1011210,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus ilishaestomus,1012657,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus intha,1017028,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus longipectoralis,1012673,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus longzhouensis,1012650,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus megalophthalmus,1013627,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus melanes,1010966,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus micristius,1016934,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus multitaeniatus,1015179,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus pellegrini,1015593,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus qionghaiensis,1524214,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus quidatensis,1010250,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus rubrofuscus,1021978,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus yilongensis,1012651,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyprinus yunnanensis,1015590,Likely to produce sound under natural conditions but unconfirmed,452075,
Cypselurus angusticeps,278729,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus bosha,1493423,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus callopterus,278730,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus comatus,278731,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus hexazona,278732,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus hiraii,278733,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus longibarbus,312467,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus naresii,217865,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus oligolepis,217867,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus olpar,1493424,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus opisthopus,278734,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus poecilopterus,217864,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus simus,312479,Does not or is unlikely to produce sound under natural conditions,452075,
Cypselurus starksi,278735,Does not or is unlikely to produce sound under natural conditions,452075,
Cyrtocara moorii,1018794,Likely to produce sound under natural conditions but unconfirmed,452075,
Cyrtograpsus angulatus,444764,Likely to produce sound under natural conditions but unconfirmed,452094,
Cystignathus ocellatus,1494907,Unknown or undetermined,,
Cystophora cristata,137078,Produces active sound under natural conditions,452259,
Cyttomimus affinis,280468,Does not or is unlikely to produce sound under natural conditions,452075,
Cyttomimus stelgis,280469,Does not or is unlikely to produce sound under natural conditions,452075,
Cyttopsis cypho,275301,Does not or is unlikely to produce sound under natural conditions,452075,
Cyttopsis rosea,127425,Does not or is unlikely to produce sound under natural conditions,452075,
Cyttus australis,277984,Does not or is unlikely to produce sound under natural conditions,452075,
Cyttus novaezealandiae,277985,Does not or is unlikely to produce sound under natural conditions,452075,
